movie_name,genre,rating,votes,duration_minutes
The Perfect Shadow,Drama,8.3,13.0,82.0
Universal Groove,"Drama,Fantasy",5.6,175.0,74.0
The Killer's Game,"Action,Comedy,Thriller",5.8,19950.0,104.0
The Promise of Perfume,Documentary,5.7,10.0,57.0
Nefarious,"Crime,Thriller",7.3,62.0,85.0
On Moral Grounds,"Documentary,History,War",8.4,8.0,74.0
Rain Falls from Earth: Surviving Cambodia's Darkest Hour,Documentary,8.0,14.0,
Maybe It's True What They Say About Us,"Drama,Thriller",6.2,129.0,94.0
The Problem with People,Comedy,5.7,696.0,102.0
The Dog Thief,Drama,7.2,154.0,90.0
The Probe,Drama,7.2,16.0,58.0
Fear and Love: The Story of the Exorcist,Documentary,8.4,69.0,61.0
Amityville: Where the Echo Lives,Horror,1.5,560.0,89.0
Art of Eight Limbs,"Action,Thriller",4.0,370.0,101.0
Lady Scorpions,"Action,Crime",3.6,393.0,101.0
The Lockdown,"Action,Crime,Drama",4.4,663.0,117.0
The Windigo,"Horror,Thriller",4.6,747.0,85.0
The Undertaker's Wife,Thriller,6.5,24.0,
Secret Ways of a Whale Shark,Documentary,6.2,6.0,50.0
Perspectiva,"Drama,Sci-Fi",6.2,101.0,90.0
Megalopolis,"Drama,Fantasy,Sci-Fi",4.7,40597.0,138.0
Loud Love,Documentary,8.6,17.0,87.0
Pet Farm,Documentary,7.2,40.0,83.0
"Meeting You, Meeting Me",Drama,9.0,29.0,85.0
Weirdo: The Story of Five Eight,Documentary,9.7,9.0,103.0
Young Lion of the West,"Action,Comedy,Crime",5.4,116.0,93.0
Goodrich,"Comedy,Drama",6.3,7358.0,110.0
Once Upon a Time in Hollyweird,Thriller,1.9,162.0,90.0
Being Robin,Comedy,5.8,14.0,
Suicide by Cop,Thriller,9.0,52.0,
Bureau 749,"Action,Adventure,Drama",3.8,689.0,123.0
Still Stares,Documentary,7.2,10.0,75.0
Swimming Home,Drama,4.7,569.0,99.0
The Mick and the Trick,"Action,Comedy,Crime",5.0,92.0,96.0
The Girl with the Needle,"Crime,Drama,History",7.5,18743.0,123.0
The Refugee,Drama,7.5,257.0,101.0
Shook,Drama,7.1,103.0,113.0
Joy,"Biography,Drama,History",7.1,11273.0,115.0
Salem's Lot,"Horror,Thriller",5.6,39556.0,114.0
Office Madness,Comedy,5.7,10.0,
Le Plein Potentiel,Documentary,7.7,8.0,80.0
Riviera,Drama,6.4,40.0,84.0
Concerto for Abigail,Drama,7.1,380.0,82.0
The Fix,"Action,Sci-Fi",4.7,2047.0,98.0
Nobody Leaves 'til Jesus Comes,"Comedy,Drama",7.2,15.0,
Alone in the Night,"Horror,Thriller",3.8,12.0,
"Lumière, l'aventure continue",Documentary,7.7,217.0,104.0
"Love, Danielle","Comedy,Drama,Fantasy",8.7,63.0,79.0
For Prophet,"Comedy,Drama,Family",5.3,119.0,105.0
Barroz: Guardian of Treasures,"Action,Adventure,Fantasy",3.3,1124.0,155.0
Tacoma,"Drama,Sci-Fi,Thriller",3.3,203.0,103.0
All Illusions Must Be Broken,Documentary,7.7,37.0,89.0
